id,name,district
1077,Pupri,221
7167,Purasawalkam,568
2283,Purbasthali - I,306
2284,Purbasthali - II,306
1058,Purnahiya,220
1134,Purnia East,214
3696,Pushparajgarh,390
5410,Puthalapattu,503
5357,Puttaparthy,754
5564,Puttur,534
5407,Puttur,752
6788,Qaziabad,8
6773,Qila Darhal,12
2821,Raghunathapali,373
2196,Raiganj,311
2376,Raipur,305
3332,Raipur,387
3442,Raipura,420
2865,Rairangpur,365
6473,Rai St,75
4796,Rajam,521
502,Rajgarh,87
6762,Rajgarh,621
3565,Rajgarh,422
167,Rajgarh,24
1394,Rajgir,209
3333,Rajim,645
6523,Rajkot West,457
6296,Rajoli,695
3558,Rajpur,393
6719,Rajpura,624
643,Rajsamand,112
4077,Rajura,473
106,Rakkar,18
4091,Ralegaon,500
7004,Rama,412
4423,Ramadugu,508
4399,Ramagundam,682
7238,Ramchandrapur,649
498,Ramgarh,87
900,Ramsanehighat,129
7201,Ramsoo,621
3710,Ranapur,412
2017,Rangjuli,287
1333,Rangra Chowk,192
2879,Rasagobindapur,365
5746,Rasipuram,580
485,Ratangarh,96
386,Ratia,61
3507,Ratlam,423
1535,Ratni Faridpur,199
2691,Ratu,339
7016,Rau,410
2833,Raurkela (Its)P.S.,373
1552,Ravangla,227
658,Rawatbhata,95
470,Rawatsar,101
1031,Raxaul,213
3181,Rayagada,370
2803,Reamal,351
77,Reasi,627
7226,Reengus,114
3451,Rehli,425
3589,Rehti,427
2785,Rengali,371
4357,Renjal,516
170,Renuka,24
6577,Renuk Circle,229
5096,Repalle,750
7287,Rey,18
305,Rishikesh,49
600,Rohat,111
4855,Rolugunta,744
5066,Rompicharla,751
5373,Rompicherla,503
6657,Roopangarh,86
4891,Rowthulapudi,746
902,Rudauli,140
2896,Rupsa,346
3781,Sabarmati,438
1338,Sabour,192
6696,Sadar,272
2791,Sadar,371
459,Sadulshahar,100
385,Safidon,65
1601,Sagalee Adc,237
7030,Sagar Nagar,425
3300,Sahaspur Lohara,382
2564,Sahibganj,340
4511,Saidabad,507
6501,Saikot,254
2857,Sainkul,361
7136,Sainthal,97
4048,Salekasa,476
692,Salumbar,777
3005,Samal Barrage,344
3749,Sami,455
1401,Sampatchak,212
2224,Samserganj,319
3780,Sanand,438
1425,Sandesh,193
6503,Sangaikot,254
4492,Sangareddy,691
466,Sangaria,101
1046,Sangrampur,213
1364,Sangrampur,207
6204,Sanjeli,445
4892,Sankhavaram,746
2404,Sankrail,313
3744,Santalpur,455
5104,Santhamaguluru,750
5425,Santhipuram,503
6683,Santirbazar,271
6959,Sarahan,23
3340,Saraipali,385
6196,Saraswati,455
6476,Saraswati Nagar St,76
431,Saraswati Vihar,82
2553,Sarath,324
4788,Saravakota,519
732,Sardhana,169
247,Sardulgarh,37
6094,Sarojani Nagar,162
7325,Sarona,381
4526,Saroornagar,518
2547,Sarwan,324
613,Sarwar,781
5058,Sattenapalli,751
3656,Sausar,785
4026,Savner,484
3795,Sayla,460
4896,Seethanagaram,505
5153,Seetharamapuram,515
4018,Seloo,498
3092,Seragad,354
2350,Serampur Uttarpara,312
3103,Serango,353
3182,Seskhal,370
727,Shahabad,176
364,Shahbad,68
98,Shahpur,18
3639,Shahpura,404
3630,Shahpura,411
629,Shahpura,780
540,Shahpura,783
3519,Shajapur,430
4624,Shaligouraram,514
1825,Shamator,765
4454,Shankarampet (A),513
4441,Shankarapatnam,508
3241,Shankargarh,649
6197,Shankheshvar,455
2886,Sharata,365
4691,Shayampet,686
1994,Shella Bholaganj,274
1060,Sheohar,220
1470,Sheosagar,215
1503,Sherghati,196
4207,Shevgaon,466
5489,Shiggaon,540
2671,Shikaripara,326
774,Shikohabad,143
4189,Shirur,490
1286,Shivaji Nagar,217
4487,Shivampet,513
52,Shopian,625
5587,Shorapur,635
4212,Shrigonda,466
6573,Sibe Circle,719
3746,Sidhpur,455
5599,Sidlaghatta,630
3700,Sihawal,433
2688,Silli,339
2718,Simdega,342
4069,Sindewahi,473
